Numer of labeled samples:15345   AUC:0.999
Numer of labeled samples:15348   AUC:0.999
Numer of labeled samples:15316   AUC:0.999
Numer of labeled samples:15347   AUC:0.997
Numer of labeled samples:15348   AUC:0.999
Numer of labeled samples:15316   AUC:0.999
Numer of labeled samples:15336   AUC:0.999
Numer of labeled samples:15326   AUC:0.999
Numer of labeled samples:15320   AUC:0.999
Numer of labeled samples:15352   AUC:0.999
Numer of labeled samples:15309   AUC:0.999
Numer of labeled samples:15353   AUC:0.999
Numer of labeled samples:15339   AUC:0.999
Numer of labeled samples:15327   AUC:0.998
Numer of labeled samples:15324   AUC:0.999
Numer of labeled samples:15331   AUC:0.999
Numer of labeled samples:15325   AUC:0.999
Numer of labeled samples:15331   AUC:0.999
Numer of labeled samples:15335   AUC:0.999
Numer of labeled samples:15347   AUC:0.999
Numer of labeled samples:15322   AUC:0.999
Numer of labeled samples:15339   AUC:0.999
Numer of labeled samples:15319   AUC:0.999
Numer of labeled samples:15351   AUC:0.999
Numer of labeled samples:15337   AUC:0.999
Numer of labeled samples:15348   AUC:0.999
Numer of labeled samples:15358   AUC:0.998
Numer of labeled samples:15376   AUC:0.999
Numer of labeled samples:15362   AUC:0.999
Numer of labeled samples:15312   AUC:0.999
Numer of labeled samples:15323   AUC:0.999
Numer of labeled samples:15357   AUC:0.999
Numer of labeled samples:15347   AUC:0.999
Numer of labeled samples:15358   AUC:0.999
Numer of labeled samples:15357   AUC:0.999
Numer of labeled samples:15364   AUC:0.997
Numer of labeled samples:15344   AUC:0.999
Numer of labeled samples:15390   AUC:0.996
Numer of labeled samples:15373   AUC:0.999
Numer of labeled samples:15369   AUC:0.999
Numer of labeled samples:15362   AUC:0.999
Numer of labeled samples:15367   AUC:0.997
Numer of labeled samples:15355   AUC:0.999
Numer of labeled samples:15383   AUC:0.998
Numer of labeled samples:15337   AUC:0.999
Numer of labeled samples:15338   AUC:0.997
Numer of labeled samples:15374   AUC:0.998
Numer of labeled samples:15334   AUC:0.998
Numer of labeled samples:15364   AUC:0.999
Numer of labeled samples:15352   AUC:0.999
Numer of labeled samples:15351   AUC:0.999
Numer of labeled samples:15375   AUC:0.999
Numer of labeled samples:15377   AUC:0.999
Numer of labeled samples:15344   AUC:0.999
Numer of labeled samples:15339   AUC:0.999
Numer of labeled samples:15351   AUC:0.997
Numer of labeled samples:15354   AUC:0.999
Numer of labeled samples:15382   AUC:0.998
Numer of labeled samples:15396   AUC:0.999
Numer of labeled samples:15360   AUC:0.999
Numer of labeled samples:15352   AUC:1.000
Numer of labeled samples:15360   AUC:0.998
Numer of labeled samples:15336   AUC:0.999
Numer of labeled samples:15365   AUC:0.999
Numer of labeled samples:15349   AUC:0.999
Numer of labeled samples:15334   AUC:0.999
Numer of labeled samples:15319   AUC:0.999
Numer of labeled samples:15360   AUC:0.997
Numer of labeled samples:15336   AUC:0.999
Numer of labeled samples:15371   AUC:0.997
Numer of labeled samples:15377   AUC:0.999
Numer of labeled samples:15374   AUC:0.997
Numer of labeled samples:15370   AUC:0.998
Numer of labeled samples:15353   AUC:0.999
Numer of labeled samples:15384   AUC:0.999
Numer of labeled samples:15360   AUC:0.999
Numer of labeled samples:15377   AUC:0.999
Numer of labeled samples:15378   AUC:0.996
Numer of labeled samples:15343   AUC:0.999
Numer of labeled samples:15348   AUC:0.999
Numer of labeled samples:15347   AUC:0.999
Numer of labeled samples:15348   AUC:0.999
Numer of labeled samples:15362   AUC:0.998
Numer of labeled samples:15356   AUC:0.999
Numer of labeled samples:15373   AUC:0.999
Numer of labeled samples:15354   AUC:0.999
Numer of labeled samples:15348   AUC:0.999
Numer of labeled samples:15341   AUC:0.998
Numer of labeled samples:15364   AUC:0.999
Numer of labeled samples:15353   AUC:0.999
Numer of labeled samples:15360   AUC:0.999
Numer of labeled samples:15326   AUC:0.999
Numer of labeled samples:15371   AUC:0.999
Numer of labeled samples:15356   AUC:0.997
Numer of labeled samples:15328   AUC:0.999
Numer of labeled samples:15359   AUC:0.998
Numer of labeled samples:15343   AUC:0.999
Numer of labeled samples:15358   AUC:0.998
Numer of labeled samples:15317   AUC:0.999
