Numer of labeled samples:10149   AUC:0.969
Numer of labeled samples:10176   AUC:0.970
Numer of labeled samples:10163   AUC:0.971
Numer of labeled samples:10153   AUC:0.969
Numer of labeled samples:10136   AUC:0.967
Numer of labeled samples:10180   AUC:0.970
Numer of labeled samples:10159   AUC:0.970
Numer of labeled samples:10147   AUC:0.968
Numer of labeled samples:10162   AUC:0.966
Numer of labeled samples:10176   AUC:0.972
Numer of labeled samples:10156   AUC:0.966
Numer of labeled samples:10129   AUC:0.967
Numer of labeled samples:10193   AUC:0.967
Numer of labeled samples:10162   AUC:0.971
Numer of labeled samples:10160   AUC:0.968
Numer of labeled samples:10161   AUC:0.969
Numer of labeled samples:10185   AUC:0.967
Numer of labeled samples:10161   AUC:0.968
Numer of labeled samples:10173   AUC:0.968
Numer of labeled samples:10164   AUC:0.971
Numer of labeled samples:10179   AUC:0.964
Numer of labeled samples:10161   AUC:0.967
Numer of labeled samples:10165   AUC:0.967
Numer of labeled samples:10175   AUC:0.967
Numer of labeled samples:10226   AUC:0.964
Numer of labeled samples:10137   AUC:0.963
Numer of labeled samples:10165   AUC:0.971
Numer of labeled samples:10159   AUC:0.967
Numer of labeled samples:10171   AUC:0.970
Numer of labeled samples:10142   AUC:0.967
Numer of labeled samples:10260   AUC:0.967
Numer of labeled samples:10179   AUC:0.970
Numer of labeled samples:10178   AUC:0.966
Numer of labeled samples:10178   AUC:0.971
Numer of labeled samples:10196   AUC:0.968
Numer of labeled samples:10174   AUC:0.971
Numer of labeled samples:10173   AUC:0.963
Numer of labeled samples:10177   AUC:0.966
Numer of labeled samples:11849   AUC:0.958
Numer of labeled samples:10178   AUC:0.968
Numer of labeled samples:10190   AUC:0.967
Numer of labeled samples:10199   AUC:0.967
Numer of labeled samples:10182   AUC:0.967
Numer of labeled samples:10147   AUC:0.968
Numer of labeled samples:10183   AUC:0.966
Numer of labeled samples:10201   AUC:0.967
Numer of labeled samples:10207   AUC:0.967
Numer of labeled samples:10177   AUC:0.966
